Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date,normalized_pnl
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,13.706,127.35,1745.46,SELL,02-04-2025 17:28,152571.28,Close Long,128.330595,0x9b86ba4a42aeab15bb5b0420c1d2fa014800cc8d542acc0d45889e8ec56f9398,83355169639,True,0.61091,1100000000000000.0,2025-02-04 17:28:00,2025-02-04,0.07352250696091574
0x083384f897ee0f19899168e3b1bec365f52a9012,ETH,2947.2,17.2691,50895.49,BUY,03-02-2025 02:18,-93.1769,Close Short,2712.97561,0x39b2f56966746802d611041d046ad401fa0052cf64a94f115c059550384c7ab4,68655473514,False,2.544774,742000000000000.0,2025-03-02 02:18:00,2025-03-02,0.053304833296624124
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,12.994,299.27,3888.71,BUY,12-03-2025 15:17,113864.13,Open Long,0.0,0x55bd7874f62b8ebe9f30041f6612ed01e500e897bb856407a5237554a45e0735,79306752398,False,0.194435,914000000000000.0,2025-12-03 15:17:00,2025-12-03,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,23.81,21.0,500.01,BUY,06-02-2025 21:19,-4900.24,Close Short,52.9515,0x277ebc75f3588e5c775f041d419ac9020202006c524bdfa6cfc1f04ee484543f,70177940119,True,0.175003,126000000000000.0,2025-06-02 21:19:00,2025-06-02,0.10590088198236036
0x8477e447846c758f5a675856001ea72298fd9cb5,kBONK,0.024817,2856.0,70.88,BUY,11-11-2024 03:30,-311886.0,Close Short,4.024104,0x69dbfd7b458799828d1404167c349d01d400650a6fe1aaf1330c207a4b53ad09,45931423977,True,0.024807,345000000000000.0,2024-11-11 03:30:00,2024-11-11,0.0567734762979684
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,14.4,165.07,2377.01,SELL,12-03-2025 01:20,59426.35,Close Long,184.366683,0xfaa826e2559b97a8776a041f5c622a02027c007b72b12afe7121e35cd6d3b100,79156331579,False,0.0,394000000000000.0,2025-12-03 01:20:00,2025-12-03,0.07756243473944156
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,3423.8,0.4382,1500.31,BUY,10-04-2024 18:39,-91.0199,Close Short,23.693474,0xadbf493f77ba6edfe14104086b45170202f7000940cdb0d42d86bd0e17911193,17385078118,True,0.525108,641000000000000.0,2024-10-04 18:39:00,2024-10-04,0.01579238557364811
0x8170715b3b381dffb7062c0298972d4727a0a63b,TRUMP,7.96,238.2,1896.07,SELL,11-04-2025 06:49,-24138.2,Open Short,0.0,0x7e52bba703fc2ed4291304214ed2df01e000cb642e94b654df43ef87c49bc52c,85662193135,False,0.182022,230000000000000.0,2025-11-04 06:49:00,2025-11-04,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,kBONK,0.024848,100611.0,2499.98,SELL,10-11-2024 16:16,-100599.0,Open Short,0.0,0x3aa25051a351d02e30c80416727b0c02011b00518986b7ed5cd051e27c957915,45776046718,True,0.874993,780000000000000.0,2024-10-11 16:16:00,2024-10-11,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,W,0.73652,280.8,206.81,SELL,07-06-2024 19:49,-6439.0,Open Short,0.0,0xd5774663fab04ac8eb65040ae7254d0129005137e9d4b53aec95ec099647f7f0,25251621759,True,0.072385,643000000000000.0,2024-07-06 19:49:00,2024-07-06,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,W,0.72875,343.9,250.62,SELL,07-06-2024 19:31,-1028.1,Open Short,0.0,0xbb89d63f249c45471c99040ae6e2ed014200cb36f93f649507e2dcca91cf7008,25249891843,True,0.087715,992000000000000.0,2024-07-06 19:31:00,2024-07-06,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,17.502,571.36,9999.94,SELL,05-03-2025 04:20,189844.94,Close Long,506.853456,0x2736d438dca701290379041eeaf04f01f700e371e5bb7303b8396823c2d71a67,77211119412,True,2.999982,355000000000000.0,2025-05-03 04:20:00,2025-05-03,0.05068564971389828
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,PENDLE,3.1732,31.0,98.37,BUY,10-02-2025 00:54,1723.0,Open Long,0.0,0xe943517a0add94cb9a22041d74658f0201090062c62625b870b054315acabf7d,71009878647,True,0.034429,135000000000000.0,2025-10-02 00:54:00,2025-10-02,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,16.122,37.05,597.32,SELL,07-03-2025 20:39,129272.21,Close Long,25.57932,0xa67acabfc24d0cb5d05b041f1704590204f000525423d8cded7ec70825f7b658,77962266892,True,0.14933,94600000000000.0,2025-07-03 20:39:00,2025-07-03,0.042823478202638446
